City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nome,US,2021-12-02 02:34:22,64.5011,-165.4064,-11.13,65,1,3.44
1,Gat,IL,2021-12-02 02:34:22,31.61,34.7642,62.82,100,53,8.08
2,Rio Claro,BR,2021-12-02 02:34:22,-22.4114,-47.5614,71.42,79,0,4.61
3,Hithadhoo,MV,2021-12-02 02:34:23,-0.6,73.0833,82.06,74,91,5.82
4,Amalapuram,IN,2021-12-02 02:34:23,16.5833,82.0167,79.18,63,7,6.53
5,Mar Del Plata,AR,2021-12-02 02:34:24,-38.0023,-57.5575,62.1,87,0,1.99
6,Busselton,AU,2021-12-02 02:34:24,-33.65,115.3333,71.1,36,6,4.76
7,Luderitz,NA,2021-12-02 02:34:25,-26.6481,15.1594,58.84,70,0,16.89
8,Mataura,NZ,2021-12-02 02:34:25,-46.1927,168.8643,71.87,42,100,5.5
9,Sungaipenuh,ID,2021-12-02 02:34:26,-2.0833,101.3833,78.69,51,45,4.85
10,Tasiilaq,GL,2021-12-02 02:34:26,65.6145,-37.6368,26.13,92,100,34.85
11,Thinadhoo,MV,2021-12-02 02:34:27,0.5333,72.9333,82.0,75,89,6.42
12,Jawhar,SO,2021-12-02 02:34:27,2.7809,45.5005,77.13,73,98,8.77
13,Mount Gambier,AU,2021-12-02 02:34:27,-37.8333,140.7667,64.31,68,90,10.36
14,Upernavik,GL,2021-12-02 02:34:28,72.7868,-56.1549,27.43,97,100,6.49
15,Manicore,BR,2021-12-02 02:34:28,-5.8092,-61.3003,71.08,98,100,2.46
16,Bilma,NE,2021-12-02 02:34:29,18.6853,12.9164,65.48,19,2,7.2
17,Awbari,LY,2021-12-02 02:34:29,26.5921,12.7805,54.39,29,61,9.51
18,Sur,OM,2021-12-02 02:34:29,22.5667,59.5289,72.32,59,0,4.12
19,Koch Bihar,IN,2021-12-02 02:34:30,26.3167,89.4333,70.34,51,59,6.82
20,Cape Town,ZA,2021-12-02 02:31:50,-33.9258,18.4232,58.26,69,20,5.75
21,Ushuaia,AR,2021-12-02 02:34:30,-54.8,-68.3,44.26,70,20,20.71
22,Punta Arenas,CL,2021-12-02 02:33:07,-53.15,-70.9167,46.51,66,20,13.8
23,New Norfolk,AU,2021-12-02 02:34:31,-42.7826,147.0587,82.9,37,82,1.01
24,Broome,US,2021-12-02 02:34:32,42.2506,-75.833,38.46,78,90,1.99
25,Carnarvon,AU,2021-12-02 02:34:32,-24.8667,113.6333,77.07,53,0,24.16
26,Marawi,PH,2021-12-02 02:34:33,7.9986,124.2928,74.64,63,98,4.76
27,Kailua,US,2021-12-02 02:34:33,21.4022,-157.7394,84.18,71,75,12.66
28,Yellowknife,CA,2021-12-02 02:34:34,62.456,-114.3525,-0.58,97,75,6.91
29,Barrow,US,2021-12-02 02:34:34,71.2906,-156.7887,-11.18,70,90,6.91
30,College,US,2021-12-02 02:30:14,64.8569,-147.8028,-2.54,75,75,0.0
31,Jamestown,US,2021-12-02 02:34:14,42.097,-79.2353,40.59,94,90,11.01
32,Fort Nelson,CA,2021-12-02 02:30:27,58.8053,-122.7002,-9.81,84,90,3.44
